Model,Accuracy,Precision,Recall,F1-Score
Logistic Regression,0.8296146044624746,0.8205128205128205,0.9580838323353293,0.8839779005524862
Support Vector Machine,0.8093306288032455,0.8191489361702128,0.9221556886227545,0.8676056338028169
Random Forest,0.8701825557809331,0.8552631578947368,0.9730538922155688,0.9103641456582633
Neural Network,0.8052738336713996,0.8380681818181818,0.8832335329341318,0.8600583090379009
