Model,Accuracy,Precision,Recall,F1-Score
Logistic Regression,0.8296146044624746,0.8205128205128205,0.9580838323353293,0.8839779005524862
Support Vector Machine,0.8093306288032455,0.8191489361702128,0.9221556886227545,0.8676056338028169
Random Forest,0.8681541582150102,0.8530183727034121,0.9730538922155688,0.9090909090909091
Neural Network,0.8093306288032455,0.8409090909090909,0.8862275449101796,0.8629737609329446
