Model,Accuracy,Precision,Recall,F1-Score
Logistic Regression,0.9026369168356998,0.9026369168356998,1.0,0.9488272921108742
Support Vector Machine,0.9026369168356998,0.9026369168356998,1.0,0.9488272921108742
Random Forest,0.9026369168356998,0.9026369168356998,1.0,0.9488272921108742
Neural Network,0.9107505070993914,0.9168399168399168,0.9910112359550561,0.9524838012958964
